Formatted Date,Temperature (C),Humidity
2006-04-21 08:00:00.000 +0200,12.63,0.96
2006-04-21 09:00:00.000 +0200,12.76,0.96
2006-04-21 10:00:00.000 +0200,13.84,0.9
2006-04-21 11:00:00.000 +0200,13.17,0.94
2006-04-21 12:00:00.000 +0200,15.07,0.86
2006-04-21 13:00:00.000 +0200,17.24,0.75
2006-04-21 14:00:00.000 +0200,16.32,0.76
2006-04-21 15:00:00.000 +0200,17.38,0.74
2006-04-21 16:00:00.000 +0200,15.27,0.76
2006-04-21 17:00:00.000 +0200,17.46,0.72
2006-04-21 18:00:00.000 +0200,16.22,0.77
2006-04-21 19:00:00.000 +0200,15.08,0.82
2006-04-21 20:00:00.000 +0200,13.99,0.88
2006-04-21 21:00:00.000 +0200,12.17,0.92
2006-04-21 22:00:00.000 +0200,11.09,0.95
2006-04-21 23:00:00.000 +0200,11.09,0.95
2006-04-22 00:00:00.000 +0200,9.88,0.96
2006-04-22 01:00:00.000 +0200,9.36,0.96
2006-04-22 02:00:00.000 +0200,9.86,0.96
2006-04-22 03:00:00.000 +0200,8.27,0.99
2006-04-22 04:00:00.000 +0200,8.87,0.96
2006-04-22 05:00:00.000 +0200,8.82,0.96
2006-04-22 06:00:00.000 +0200,7.16,1
2006-04-22 07:00:00.000 +0200,8.85,0.99
2006-04-22 08:00:00.000 +0200,11.18,0.93
2006-04-22 09:00:00.000 +0200,12.39,0.98
2006-04-22 10:00:00.000 +0200,14.14,0.88
2006-04-22 11:00:00.000 +0200,17.10,0.72
2006-04-22 12:00:00.000 +0200,18.94,0.64
2006-04-22 13:00:00.000 +0200,17.92,0.68
2006-04-22 14:00:00.000 +0200,19.98,0.53
2006-04-22 15:00:00.000 +0200,20.07,0.62
2006-04-22 16:00:00.000 +0200,20.07,0.56
2006-04-22 17:00:00.000 +0200,20.08,0.58
2006-04-22 18:00:00.000 +0200,19.09,0.63
2006-04-22 19:00:00.000 +0200,17.45,0.62
2006-04-22 20:00:00.000 +0200,15.57,0.74
2006-04-22 21:00:00.000 +0200,12.49,0.91
2006-04-22 22:00:00.000 +0200,12.24,0.89
2006-04-22 23:00:00.000 +0200,11.42,0.92
2006-04-23 00:00:00.000 +0200,10.56,0.95
2006-04-23 01:00:00.000 +0200,10.47,0.93
2006-04-23 02:00:00.000 +0200,10.25,0.95
2006-04-23 03:00:00.000 +0200,9.36,0.96
2006-04-23 04:00:00.000 +0200,8.31,0.96
2006-04-23 05:00:00.000 +0200,8.81,0.96
2006-04-23 06:00:00.000 +0200,8.73,0.93
2006-04-23 07:00:00.000 +0200,11.93,0.93
2006-04-23 08:00:00.000 +0200,14.52,0.84
2006-04-23 09:00:00.000 +0200,18.73,0.68
2006-04-23 10:00:00.000 +0200,20.03,0.6
2006-04-23 11:00:00.000 +0200,21.04,0.55
2006-04-23 12:00:00.000 +0200,20.74,0.46
2006-04-23 13:00:00.000 +0200,22.32,0.48
2006-04-23 14:00:00.000 +0200,22.11,0.5
2006-04-23 15:00:00.000 +0200,22.73,0.38
2006-04-23 16:00:00.000 +0200,22.78,0.37
2006-04-23 17:00:00.000 +0200,21.22,0.41
2006-04-23 18:00:00.000 +0200,20.18,0.45
2006-04-23 19:00:00.000 +0200,18.01,0.68
2006-04-23 20:00:00.000 +0200,17.42,0.65
2006-04-23 21:00:00.000 +0200,13.96,0.82
2006-04-23 22:00:00.000 +0200,13.29,0.89
2006-04-23 23:00:00.000 +0200,12.32,0.89
2006-04-24 00:00:00.000 +0200,11.12,0.95
2006-04-24 01:00:00.000 +0200,10.53,0.95
2006-04-24 02:00:00.000 +0200,12.38,0.8
2006-04-24 03:00:00.000 +0200,9.86,0.96
2006-04-24 04:00:00.000 +0200,8.87,0.95
2006-04-24 05:00:00.000 +0200,8.67,0.94
2006-04-24 06:00:00.000 +0200,7.69,1
2006-04-24 07:00:00.000 +0200,10.91,0.99
2006-04-24 08:00:00.000 +0200,14.84,0.82
2006-04-24 09:00:00.000 +0200,18.80,0.65
2006-04-24 10:00:00.000 +0200,21.09,0.49
2006-04-24 11:00:00.000 +0200,22.03,0.49
2006-04-24 12:00:00.000 +0200,22.83,0.47
2006-04-24 13:00:00.000 +0200,22.92,0.37
2006-04-24 14:00:00.000 +0200,23.92,0.37
2006-04-24 15:00:00.000 +0200,23.91,0.4
2006-04-24 16:00:00.000 +0200,23.93,0.37
2006-04-24 17:00:00.000 +0200,23.92,0.32
2006-04-24 18:00:00.000 +0200,22.82,0.44
2006-04-24 19:00:00.000 +0200,21.23,0.48
2006-04-24 20:00:00.000 +0200,19.08,0.51
2006-04-24 21:00:00.000 +0200,17.06,0.63
2006-04-24 22:00:00.000 +0200,14.91,0.72
2006-04-24 23:00:00.000 +0200,13.08,0.87
2006-04-25 00:00:00.000 +0200,12.71,0.89
2006-04-25 01:00:00.000 +0200,12.13,0.89
2006-04-25 02:00:00.000 +0200,11.81,0.84
2006-04-25 03:00:00.000 +0200,12.02,0.8
2006-04-25 04:00:00.000 +0200,12.04,0.8
2006-04-25 05:00:00.000 +0200,10.63,0.86
2006-04-25 06:00:00.000 +0200,9.91,0.99
2006-04-25 07:00:00.000 +0200,12.56,0.9
2006-04-25 08:00:00.000 +0200,15.01,0.78
2006-04-25 09:00:00.000 +0200,17.34,0.74
2006-04-25 10:00:00.000 +0200,19.10,0.67
2006-04-25 11:00:00.000 +0200,21.26,0.57
2006-04-25 12:00:00.000 +0200,22.41,0.54
2006-04-25 13:00:00.000 +0200,22.94,0.5
2006-04-25 14:00:00.000 +0200,23.93,0.47
2006-04-25 15:00:00.000 +0200,23.96,0.47
2006-04-25 16:00:00.000 +0200,23.96,0.38
2006-04-25 17:00:00.000 +0200,23.11,0.42
2006-04-25 18:00:00.000 +0200,22.82,0.44
2006-04-25 19:00:00.000 +0200,21.11,0.47
2006-04-25 20:00:00.000 +0200,18.19,0.58
2006-04-25 21:00:00.000 +0200,16.02,0.72
2006-04-25 22:00:00.000 +0200,15.47,0.72
2006-04-25 23:00:00.000 +0200,14.61,0.76
2006-04-26 00:00:00.000 +0200,13.31,0.82
2006-04-26 01:00:00.000 +0200,12.73,0.83
2006-04-26 02:00:00.000 +0200,13.79,0.77
2006-04-26 03:00:00.000 +0200,10.58,0.88
2006-04-26 04:00:00.000 +0200,10.48,0.92
2006-04-26 05:00:00.000 +0200,10.29,0.91
2006-04-26 06:00:00.000 +0200,9.97,0.92
2006-04-26 07:00:00.000 +0200,13.64,0.9
2006-04-26 08:00:00.000 +0200,16.74,0.74
2006-04-26 09:00:00.000 +0200,18.84,0.65
2006-04-26 10:00:00.000 +0200,21.16,0.59
2006-04-26 11:00:00.000 +0200,22.59,0.53
2006-04-26 12:00:00.000 +0200,22.89,0.48
2006-04-26 13:00:00.000 +0200,24.01,0.47
2006-04-26 14:00:00.000 +0200,24.01,0.35
2006-04-26 15:00:00.000 +0200,23.98,0.44
2006-04-26 16:00:00.000 +0200,25.04,0.32
2006-04-26 17:00:00.000 +0200,24.08,0.35
2006-04-26 18:00:00.000 +0200,22.38,0.45
2006-04-26 19:00:00.000 +0200,21.21,0.52
2006-04-26 20:00:00.000 +0200,18.26,0.62
2006-04-26 21:00:00.000 +0200,17.20,0.67
2006-04-26 22:00:00.000 +0200,15.99,0.75
2006-04-26 23:00:00.000 +0200,15.96,0.79
2006-04-27 00:00:00.000 +0200,15.44,0.72
2006-04-27 01:00:00.000 +0200,14.37,0.75
2006-04-27 02:00:00.000 +0200,13.61,0.9
2006-04-27 03:00:00.000 +0200,12.82,0.82
2006-04-27 04:00:00.000 +0200,12.75,0.83
2006-04-27 05:00:00.000 +0200,11.42,0.92
2006-04-27 06:00:00.000 +0200,12.33,0.86
2006-04-27 07:00:00.000 +0200,14.91,0.78
2006-04-27 08:00:00.000 +0200,15.89,0.74
2006-04-27 09:00:00.000 +0200,17.23,0.72
2006-04-27 10:00:00.000 +0200,17.83,0.73
2006-04-27 11:00:00.000 +0200,17.92,0.72
2006-04-27 12:00:00.000 +0200,19.06,0.67
2006-04-27 13:00:00.000 +0200,20.14,0.67
2006-04-27 14:00:00.000 +0200,20.26,0.62
2006-04-27 15:00:00.000 +0200,21.21,0.62
2006-04-27 16:00:00.000 +0200,21.26,0.67
2006-04-27 17:00:00.000 +0200,20.23,0.66
2006-04-27 18:00:00.000 +0200,19.08,0.71
2006-04-27 19:00:00.000 +0200,17.94,0.77
2006-04-27 20:00:00.000 +0200,15.49,0.82
2006-04-27 21:00:00.000 +0200,14.14,0.89
2006-04-27 22:00:00.000 +0200,14.54,0.86
2006-04-27 23:00:00.000 +0200,14.14,0.86
2006-04-28 00:00:00.000 +0200,13.40,0.9
2006-04-28 01:00:00.000 +0200,13.43,0.9
2006-04-28 02:00:00.000 +0200,11.59,0.74
2006-04-28 03:00:00.000 +0200,14.42,0.83
2006-04-28 04:00:00.000 +0200,13.92,0.86
2006-04-28 05:00:00.000 +0200,13.40,0.9
2006-04-28 06:00:00.000 +0200,13.87,0.9
2006-04-28 07:00:00.000 +0200,14.91,0.84
2006-04-28 08:00:00.000 +0200,15.93,0.74
2006-04-28 09:00:00.000 +0200,17.13,0.65
2006-04-28 10:00:00.000 +0200,18.75,0.58
2006-04-28 11:00:00.000 +0200,18.96,0.6
2006-04-28 12:00:00.000 +0200,19.99,0.54
2006-04-28 13:00:00.000 +0200,21.11,0.5
2006-04-28 14:00:00.000 +0200,21.09,0.46
2006-04-28 15:00:00.000 +0200,21.18,0.43
2006-04-28 16:00:00.000 +0200,21.23,0.41
2006-04-28 17:00:00.000 +0200,20.10,0.45
2006-04-28 18:00:00.000 +0200,19.03,0.51
2006-04-28 19:00:00.000 +0200,17.85,0.59
2006-04-28 20:00:00.000 +0200,16.26,0.66
2006-04-28 21:00:00.000 +0200,14.98,0.72
2006-04-28 22:00:00.000 +0200,14.47,0.65
2006-04-28 23:00:00.000 +0200,13.94,0.6
2006-04-29 00:00:00.000 +0200,12.32,0.65
2006-04-29 01:00:00.000 +0200,11.76,0.66
2006-04-29 02:00:00.000 +0200,10.83,0.62
2006-04-29 03:00:00.000 +0200,10.14,0.73
2006-04-29 04:00:00.000 +0200,10.63,0.71
2006-04-29 05:00:00.000 +0200,10.61,0.69
2006-04-29 06:00:00.000 +0200,10.07,0.71
2006-04-29 07:00:00.000 +0200,11.16,0.71
2006-04-29 08:00:00.000 +0200,12.89,0.67
2006-04-29 09:00:00.000 +0200,15.05,0.6
2006-04-29 10:00:00.000 +0200,15.16,0.59
2006-04-29 11:00:00.000 +0200,16.27,0.56
2006-04-29 12:00:00.000 +0200,17.80,0.46
